Table No. 19 (c),,,,,,,,,,
"STATEMENT ON REMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS
UNDER RBI’s AUTOMATIC ROUTE
"208
1",NEUROPIXEL.AI LABS PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and
computer service activities n.e.c",ENTREPRENEUR FIRST OPERATIONS LTD,United Kingdom,0.00,0.00,Received in the Company,
"208
2",NEW STREET TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,"Providing software support and maintenance to the
clients",Rahul Anne,U.S.A,37.01,0.51,Received in the Company,
"208
3",NEW STREET TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,Providing software support and maintenance to the clients,Vittal Kadapakkam,U.S.A,37.01,0.51,Received in the Company,
"208
4",NEW STREET TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,Providing software support and maintenance to the clients,Mohit Davar,UAE,14.80,0.20,Received in the Company,
"208
5",NEW STREET TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,"Providing software support and maintenance to the
clients",Michael J Pizer,U.S.A,22.20,0.30,Received in the Company,
"208
6",NEW STREET TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,"Providing software support and
maintenance to the clients",Michael Eng,U.S.A,3.70,0.05,Received in the Company,
"208
7",NEW STREET TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,"Providing software support and maintenance to the
clients",Palani Rajan Kadapakkam,U.S.A,11.10,0.15,Received in the Company,
"208
8",NEW STREET TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,"Providing software support and maintenance to the
clients",Alexandre L Faust,U.S.A,3.70,0.05,Received in the Company,
"208
9",Newbazaar Technologies Private Limited,MAHARASHT RA,Pune,Other information technology and computer service activities n.e.c,Beenext Emerging Asia Pte. Ltd.,Singapore,109.50,1.47,Received in the Company,
"209
0",NEWBY INDIA PRIVATE LIMITED,DELHI,Central Delhi,"Wholesale of tea, coffee & cocoa",SKANDA INVESTMENTS LIMITED,Mauritius,14.84,0.20,Received in the Company,
"209
1",NEWFANG NETWORKS PRIVATE LIMITED,KARNATAKA,Bengaluru,"Writing, modifying, testing of computer",Commit Enterprise Solution Holdings Pte Ltd,Singapore,2.92,0.04,Received in the,
,,,,"program to meet the needs of a particular client excluding
web-page designing",,,,,Company,
"209
2",Newly Weds Foods India Private Limited,DELHI,South Delhi,Grinding and processing of spices,"NEWLY WEDS FOODS, INC.",U.S.A,149.74,2.04,Received in the Company,
"209
3",Newly Weds Foods India Private Limited,DELHI,South Delhi,Grinding and processing of spices,"Newly Weds Foods, Inc.",U.S.A,142.07,1.94,"Received in
the Company",
"209
4",Newly Weds Foods India Private Limited,DELHI,South Delhi,Grinding and processing of spices,"NEWLY WEDS FOODS, INC.",U.S.A,109.50,1.49,Received in the Company,
"209
5",Newly Weds Foods India Private Limited,DELHI,South Delhi,Grinding and processing of spices,"Newly Weds Foods, Inc.",U.S.A,113.19,1.54,"Received in the
Company",
"209
6",NEXGEN FOOTWEARS PRIVATE LIMITED,DELHI,West Delhi,"Manufacture of leather footwear such as shoes, sandals, chappals, leather-cum- rubber/plastic cloth
sandles and chappals",ABDUL RAZZAK BILAL TRADING CO LLC,UAE,30.00,0.41,Received in the Company,
"209
7",NEXPRT SOLUTIONS PRIVATE LIMITED,MAHARASHT RA,Aurangabad,"Other non- specialised
wholesale trade n.e.c.",Sprout Investments II,Mauritius,1.83,0.02,Received in the Company,
"209
8",NEXPRT SOLUTIONS PRIVATE LIMITED,MAHARASHT RA,Aurangabad,Other non- specialised wholesale trade n.e.c.,Sprout Investments II,Mauritius,0.02,0.00,Received in the Company,
"209
9",Next Century Spirits India Private Limited,MAHARASHT RA,Mumbai,"Other professional, scientific and
technical activities n.e.c.",Next Century Spirits LLC,U.S.A,5.00,0.07,Received in the Company,
"210
0",Nextlevel Touch Solutions Private Limited,KARNATAKA,Bengaluru,Wholesale of other electronic equipments and parts thereof,TOUCH INTERNATIONAL INC,U.S.A,3.72,0.05,Received in the Company,
"210
1",NF HEALTHCARE INDIA PRIVATE LIMITED,DELHI,North West Delhi,Manufacture of other medical and dental instruments n.e.c.,"NF CO.,LTD",South Korea,12.94,0.18,Received in the Company,
"210
2",NHTC (INDIA) PRIVATE LIMITED,MAHARASHT RA,Mumbai,"Retail sale in non- specialized stores with food, beverages or tobacco
predominating",NHTC HOLDING COMPANY,Cayman Islands,10.20,0.14,Received in the Company,
"210
3",NICE INTERACTIVE SOLUTIONS INDIA PRIVATE LIMITED,MAHARASHT RA,Pune,"Providing software support and
maintenance to the clients",NICE Systems Ltd.,Israel,0.10,0.00,Received in the Company,
"210
4",NIEDAX INDIA CABLE MANAGEMENT SYSTEMS PRIVATE LIMITED,KARNATAKA,Bengaluru,Manufacture of other fabricated metal products n.e.c.,NIEDAX GALVANIK GMBH,Germany,145.45,1.99,Received in the Company,
"210
5",Nifco India Private Limited,HARYANA,Gurgaon,"Manufacture of other
plastics products n.e.c.",NIFCO INC.,Japan,530.00,7.12,"Received in
the Company",
"210
6",NIHON KOHNETSU INDIA PRIVATE LIMITED,HARYANA,Gurgaon,"Manufacture of ovens, furnaces and furnace burners","Nihon Kohnetsu Industrial Co., Ltd.",Japan,35.00,0.47,Received in the Company,
"210
7",NIKE INDIA TECHNOLOGY CENTER PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information service activities
n.e.c.",Nike Global Trading B.V.,Netherland,0.00,0.00,"Received in the
Company",
"210
8",NIKE INDIA TECHNOLOGY CENTER PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information
service activities n.e.c.",Nike Flight B.V,Netherland,30.00,0.41,"Received in
the Company",
"210
9",NIKKEI CMR ALUMINIUM INDIA PRIVATE LIMITED,MAHARASHT RA,Pune,Manufacture of Aluminium from alumina and by other methods and products of aluminium and alloys,Nikkei MC Aluminium Co Ltd,Japan,145.50,1.99,Received in the Company,
"211
0",Nineroot Technologies Private Limited,HARYANA,Gurgaon,"Other information technology and
computer service activities n.e.c",SCIN PTE LTD,Singapore,1.23,0.02,Received in the Company,
"211
1",Nirmund Digital Distributions Private Limited,KARNATAKA,Bengaluru,"Computer consultancy and computer facilities management
activities",ERA INTERNATIONAL HOLDING INC,British Virginia,7.30,0.10,Received in the Company,
"211
2",NISCHAY EXPERT SERVICES PRIVATE LIMITED,TELANGANA,K.V.Rangareddy,Computer consultancy and computer facilities management activities,Stone Profit Systems INC,U.S.A,3.64,0.05,Received in the Company,
"211
3",NJT NETWORK PRIVATE LIMITED,RAJASTHAN,Ajmer,Other information technology and computer service activities n.e.c,Piyush Jain,Oman,1.50,0.02,Received in the Company,
"211
4",NJT NETWORK PRIVATE LIMITED,RAJASTHAN,Ajmer,"Other information technology and
computer service activities n.e.c",Tanjeet singh Gulati,South Africa,0.50,0.01,Received in the Company,
"211
5",NJT NETWORK PRIVATE LIMITED,RAJASTHAN,Ajmer,"Other information technology and
computer service activities n.e.c",Kalpataru Ventures Private Limited,Mauritius,0.93,0.01,Received in the Company,
"211
6",NJT NETWORK PRIVATE LIMITED,RAJASTHAN,Ajmer,"Other information technology and computer service
activities n.e.c",No Fund I A Series of Sajid Rahman Angel Fund LP,U.S.A,7.04,0.10,Received in the Company,
"211
7",NKT Operations India Private Limited,TAMIL NADU,Chennai,Architectural and engineering activities and related technical consultancy,NKT Invest A/S,Denmark,0.00,0.00,Received in the Company,
"211
8",NKT Operations India Private Limited,TAMIL NADU,Chennai,"Architectural and engineering activities and related
technical consultancy",NKT Cables Group A/S,Denmark,3.60,0.05,Received in the Company,
"211
9",NOCCARC ROBOTICS PRIVATE LIMITED,MAHARASHT RA,Mumbai,"Manufacture of other
special-purpose machinery n.e.c.",GOPAL MENON / MANJULA MENON,U.S.A,0.24,0.00,"Received in
the Company",
"212
0",NOCCARC ROBOTICS PRIVATE LIMITED,MAHARASHT RA,Mumbai,Manufacture of other special-purpose machinery n.e.c.,CHANDRA KANT SHARMA,UAE,0.16,0.00,Received in the Company,
"212
1",NOLAN EDUTECH PRIVATE LIMITED,KARNATAKA,Bengaluru,"OTHER EDUCATIONAL
SERVICES N.E.C.",ON MAURITIUS,Mauritius,230.20,3.09,"Received in the
Company",
"212
2",NOLTA INDIA PRIVATE LIMITED,DELHI,North West Delhi,Manufacture of other electrical equipment,NOLTA GESELLSCHAFT MIT BESCHRAENK HAFTUNG,Germany,7.50,0.10,"Received in
the Company",
"212
3",NOOVOCOM ADVANTAGES PRIVATE LIMITED,KARNATAKA,Udupi,"Other information technology and computer service
activities n.e.c",YUN ZHUANG,U.S.A,3.85,0.05,Received in the Company,
"212
4",NORTHCAP SERVICES PRIVATE LIMITED,HARYANA,Gurgaon,"Human resources provision and management of
human resources functions",RAJESH SACHDEVA,Singapore,10.00,0.14,Received in the Company,
"212
5",NORTHCAP SERVICES PRIVATE LIMITED,HARYANA,Gurgaon,"Human resources provision and management of
human resources functions",FORT KOCHI HOLDINGS LTD,Mauritius,1.50,0.02,Received in the Company,
"212
6",Novatis Hygiene Products India Pvt. Ltd.,Maharashtra,Mumbai,Manufacture of other articles n.e.c.,Novatis SA,Morocco,5.46,0.07,Brownfield,
"212
7",Novatis Hygiene Products India Pvt. Ltd.,Maharashtra,Mumbai,Manufacture of other articles n.e.c.,Norsudex SA,Morocco,11.68,0.16,Brownfield,
"212
8",NOVEZO CONSULTING PRIVATE LIMITED,TAMIL NADU,Chennai,"Computer consultancy and computer facilities
management activities",Asta CRS Inc,U.S.A,34.83,0.48,Received in the Company,
"212
9",NOVEZO CONSULTING PRIVATE LIMITED,TAMIL NADU,Chennai,"Computer consultancy and computer facilities management
activities",Asta CRS Inc,U.S.A,2.99,0.04,Received in the Company,
"213
0",NRV DESIGNX PRIVATE LIMITED,UTTARAKHA ND,Dehradun,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding
web-page designing",Think Next LLC,U.S.A,0.03,0.00,Received in the Company,
"213
1",NRV DESIGNX PRIVATE LIMITED,UTTARAKHA ND,Dehradun,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding
web-page designing",Think Next LLC,U.S.A,3.75,0.05,Received in the Company,
"213
2",NSL Tidong Power Generation Private Limited,HIMACHAL PRADESH,Kinnaur,"Electric power generation using other non conventional
sources",Statkraft IH Holding AS,Norway,500.00,6.80,BROWNFIE LD,
"213
3",NTEX TRANSPORTATION SERVICES PRIVATE LIMITED,MAHARASHT RA,Pune,"Other information service activities
n.e.c.",Avataar Holdings,Mauritius,"2,058.49",28.10,"Received in the
Company",
"213
4",NTEX TRANSPORTATION SERVICES PRIVATE LIMITED,MAHARASHT RA,Pune,Other information service activities n.e.c.,Naspers Ventures B.V.,Netherland,"2,245.56",30.65,Received in the Company,
"213
5",NTEX TRANSPORTATION SERVICES PRIVATE LIMITED,MAHARASHT RA,Pune,Other information service activities n.e.c.,Kalaari Capital Partners III LLC,Mauritius,374.14,5.11,Received in the Company,
"213
6",NTEX TRANSPORTATION SERVICES PRIVATE LIMITED,MAHARASHT RA,Pune,"Other information
service activities n.e.c.",Kalaari Capital Partners Opportunity Fund LLC,Mauritius,523.87,7.15,"Received in
the Company",
"213
7",NTEX TRANSPORTATION SERVICES PRIVATE LIMITED,MAHARASHT RA,Pune,Other information service activities n.e.c.,Schroder Adveq Asia Mru VI ltd,Mauritius,374.14,5.11,Received in the Company,
"213
8",NTI TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Nirvana Tech Inc.,U.S.A,0.10,0.00,Received in the Company,
"213
9",NTT GLOBAL DATA CENTERS NAV2 PRIVATE LIMITED,MAHARASHT RA,Thane,"Other data processing, hosting",TOKYO CENTURY CORPORATION,Japan,"10,285.00",138.11,Greenfield,
,,,,and related activities n.e.c.,,,,,,
"214
0",NUALCO PRIVATE LIMITED,TAMIL NADU,Tiruvallur,Manufacture of other iron and steel casting and products thereof,Vivekananthan M V Nathan,Malaysia,5.46,0.07,Received in the Company,
"214
1",NUBES OPUS CHENNAI PRIVATE LIMITED,TAMIL NADU,Kanchipuram,"Providing software support and maintenance to the
clients",Nubes Opus LLC,U.S.A,0.95,0.01,Received in the Company,
"214
2",NUCON ALKAN AEROSPACE PRIVATE LIMITED,TELANGANA,K.V.Rangareddy,"Manufacture of parts and accessories of the aircraft and spacecraft of this class (major assemblies such as fuselages, wings, doors, control surfaces, landing gear, fuel tanks, nacelles, airscrews,
he",ALKAN,France,0.98,0.01,Received in the Company,
"214
3",Nudje Technologies Private Limited,HARYANA,Gurgaon,Other information technology and computer service activities n.e.c,Kanika Kataria,Singapore,0.50,0.01,Received in the Company,
"214
4",Nudje Technologies Private Limited,HARYANA,Gurgaon,"Other information technology and computer service
activities n.e.c",Rajesh Kumar Aroli Veettil,Singapore,0.50,0.01,Received in the Company,
"214
5",NUSTAR TECHNOLOGIES INDIA PRIVATE LIMITED,HARYANA,Gurgaon,Software installation,SATYAN EDUCATION SERVICES LLC,U.S.A,0.10,0.00,Received in the Company,
"214
6",NuvePro Technologies Private Limited,KARNATAKA,Bengaluru,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding
web-page designing",Ashok Samuel,Singapore,1.00,0.01,Received in the Company,
"214
7",NXG POWER SYSTEMS INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,"Research and experimental development on
natural sciences and engineering","NEXGEN POWER SYSTEMS, INC.",U.S.A,18.50,0.25,Received in the Company,
"214
8",NYRA ENTERPRISE PRIVATE LIMITED,DELHI,South West Delhi,Retail sale of textiles in specialized stores,"Kesari Enterprises, LLC",U.S.A,1.39,0.02,Received in the Company,
214,NZURI PUNE KNOWLEDGE PARK,MAHARASHT,Mumbai,Construction of,Real India II AG,Liechtenste,146.15,1.99,Received in,
9,PRIVATE LIMITED,RA,,"buildings carried out on own-account
basis or on a fee or contract basis",,in,,,the Company,
"215
0",O2 Power Private Limited,DELHI,South West Delhi,Electric power generation using solar energy,O2 POWER SG PTE. LTD.,Singapore,25.00,0.34,Received in the Company,
"215
1",O2 Power Private Limited,DELHI,South West Delhi,"Electric power
generation using solar energy",O2 POWER SG PTE. LTD.,Singapore,75.00,1.01,"Received in
the Company",
"215
2",O2O SOFTWARE SERVICES PRIVATE LIMITED,DELHI,Central Delhi,"Providing software support and maintenance to the
clients",Kristal.AI Holdings Pte Ltd,Singapore,36.54,0.50,Received in the Company,
"215
3",OAKWAY INTERNATIONAL SCHOOLS,PUNJAB,Moga,"General school education in the first stage of the secondary level (up to X th standard)
without any special subject pre-requisite",THIND PROPERTIES LTD,Canada,6.02,0.08,GREENFIE LD,
"215
4",OAKWAY INTERNATIONAL SCHOOLS,PUNJAB,MOGA,"General school education in the first stage of the secondary level (up to X th standard) without any special
subject pre-requisite",THIND PROPERTIES LTD,Canada,4.62,0.06,GREENFIE LD,
"215
5",Oakwood Agri-Tech Private Limited,HARYANA,Gurgaon,"Other supporting activities including agricultural gardening (excluding parks and gardening activities),
n.e.c.",Dunraven Capital Agri-Tech Pte Ltd,Singapore,1.45,0.02,Received in the Company,
"215
6",OCM India Opportunities XI AIF Management Private Limited,MAHARASHT RA,Mumbai,"Activities auxiliary to
financial service activities n.e.c.",India Manager OPPS XI Holdings Singapore Pte Ltd,Singapore,51.00,0.70,"Received in
the Company",
"215
7",OCM India Opportunities XI AIF Management Private Limited,MAHARASHT RA,Mumbai,Activities auxiliary to financial service activities n.e.c.,India Manager OPPS XI Holdings Singapore Pte. Ltd,Singapore,0.50,0.01,Received in the Company,
"215
8",OCM India Opportunities XI AIF Management Private Limited,MAHARASHT RA,Mumbai,"Activities auxiliary to financial service
activities n.e.c.",India AIF Trust Opps XI Holdings Singapore Pte. Ltd,Singapore,0.00,0.00,"Received in the
Company",
"215
9",OCROLUS EAST PRIVATE LIMITED,DELHI,South Delhi,Activities of call centres,Ocrolus Inc,U.S.A,0.20,0.00,Received in the Company,
216,OCTAFX INDIA PRIVATE LIMITED,MAHARASHT,Mumbai,Other information,Pavel Prozorov,Spain,20.00,0.27,Received in,
0,,RA,,technology and computer service activities n.e.c,,,,,the Company,
"216
1",OCTATHORPE WEB-CONSULTANTS PRIVATE LIMITED,TELANGANA,Hyderabad,Publishing of computer games for all platforms,Shead Investment Holdings LTD,Mauritius,1.50,0.02,Received in the Company,
"216
2",ODICEA DISTRIBUTION TECHNOLOGIES PRIVATE LIMITED,DELHI,South Delhi,Wholesale of other basic/manufactured food stuffs n.e.c.,Sanjay Annappa Prabhu,Bahrain,1.00,0.01,Received in the Company,
"216
3",ODICEA DISTRIBUTION TECHNOLOGIES PRIVATE LIMITED,DELHI,South Delhi,Wholesale of other basic/manufactured food stuffs n.e.c.,Deepu K Mathew,Qatar,1.00,0.01,Received in the Company,
"216
4",OFB TECH PRIVATE LIMITED,DELHI,South West Delhi,"Wholesale trade via e-commerce excluding activities
of commission agents",CREATION INVESTMENTS INDIA II LLC,U.S.A,709.10,9.52,Received in the Company,
"216
5",OFB TECH PRIVATE LIMITED,DELHI,South West Delhi,"Wholesale trade via e-commerce excluding activities of commission
agents","MATRIX PARTNERS INDIA INVESTMENT HOLDINGS II,LLC",Mauritius,241.14,3.24,Received in the Company,
"216
6",OFB TECH PRIVATE LIMITED,DELHI,South West Delhi,"Wholesale trade via e-commerce excluding activities of commission
agents","MATRIX PARTNERS INDIA INVESTMENTS II EXTENSION, LLC",Mauritius,28.61,0.38,Received in the Company,
"216
7",OFB TECH PRIVATE LIMITED,DELHI,South West Delhi,"Other non- specialised
wholesale trade n.e.c.","MATRIX PARTNERS INDIA INVESTMENTS II EXTENSION, LLC",Mauritius,22.79,0.31,Received in the Company,
"216
8",OFB TECH PRIVATE LIMITED,DELHI,South West Delhi,"Other non- specialised wholesale trade
n.e.c.","MATRIX PARTNERS INDIA INVESTMENT HOLDINGS II, LLC",Mauritius,50.45,0.69,Received in the Company,
